sec_code,sec_name,industry,year,title,announcement_id,published_at,file,size_kb,sha256,status
600642,申能股份,电力、热力生产和供应业,2023,申能股份有限公司2023年度报告,1222823355,2024-04-30,corpus\raw\600642_申能股份_2023.pdf,1371,83060c88b3ac6346be31b79a8e082ed784d7fbf061d619d05e5491b6009b5d4c,downloaded
600758,辽宁能源,煤炭开采和洗选业,2023,辽宁能源2023年年度报告,1219774698,2024-04-24,corpus\raw\600758_辽宁能源_2023.pdf,4818,3423bf19a45df2cca7305d4fcf80b4f417d95462067bb98878a1683fad554059,downloaded
600782,新钢股份,黑色金属冶炼和压延加工业,2023,新钢股份2023年度报告全文,1219746875,2024-04-23,corpus\raw\600782_新钢股份_2023.pdf,5518,c92626988180f3838977f6d3e835947c801b022debfcf69c0f42db4bad5a469a,downloaded
600783,鲁信创投,资本市场服务,2023,鲁信创投2023年年度报告,1219916338,2024-04-30,corpus\raw\600783_鲁信创投_2023.pdf,4132,566daee2fe6784ee769b7b1b67aef31612ee063cf6456e3f7ea58ddd22ec8fdb,downloaded
600864,哈投股份,资本市场服务,2023,哈投股份2023年年度报告,1219856585,2024-04-27,corpus\raw\600864_哈投股份_2023.pdf,6277,41d78b196ec7376395c831afe7f99d7e123d5d0b48cdd992a5c4136f985ce0d1,downloaded
600886,国投电力,电力、热力生产和供应业,2023,国投电力控股股份有限公司2023年年度报告,1219911056,2024-04-30,corpus\raw\600886_国投电力_2023.pdf,15992,5e2b8f1601b3b2489bf56c75e41ef95b06719f5c83718ccf226f823412a32ee4,downloaded
600900,长江电力,电力、热力生产和供应业,2023,长江电力2023年年度报告,1219922588,2024-04-30,corpus\raw\600900_长江电力_2023.pdf,1758,a32aa92211f533bef9bd426a29158060d6bed4a31fca6c9f6805fd8659c90d38,downloaded
600905,三峡能源,电力、热力生产和供应业,2023,2023年年度报告,1219922743,2024-04-30,corpus\raw\600905_三峡能源_2023.pdf,5982,93c79544d22483f89b396dc75ae1c860576719bd754a8cc23c160ed1c4f48b42,downloaded
600928,西安银行,货币金融服务,2023,西安银行股份有限公司2023年年度报告,1219916481,2024-04-30,corpus\raw\600928_西安银行_2023.pdf,2367,1bbb95fe59d93d4845e1693ef3039fd26038ac83d7c96faff06013a46b6c52d6,downloaded
600979,广安爱众,电力、热力生产和供应业,2023,四川广安爱众股份有限公司2023年年度报告,1219922786,2024-04-30,corpus\raw\600979_广安爱众_2023.pdf,5589,ac527ccaae32b7e8839519cfbecdd4aef606fdb5a5fa97aa8e3d0ac330bb25f3,downloaded
